,rating,votes,awards
389,6.7,2638,0
390,6.5,2671,0
391,6.6,7095,0
392,0.0,0,0
393,5.8,54474,1
394,7.6,13829,1
395,6.7,57814,1
396,7.8,3897,1
397,0.0,0,0
398,5.9,11715,1
399,0.0,0,0
400,6.6,248903,1
401,5.5,1922,1
402,6.3,4615,1
403,1.5,17198,1
404,0.0,0,0
405,7.0,15008,1
406,5.3,6574,1
407,6.2,1603,0
408,5.2,22111,1
409,7.4,205,1
410,6.5,125,0
411,3.0,22405,1
412,6.3,4372,1
413,3.6,2030,0
414,7.1,3728,1
415,0.0,0,0
416,7.3,77,0
417,8.2,56,0
418,8.0,3834,1
419,0.0,0,0
420,5.8,10599,1
421,8.0,12217,1
422,6.6,4349,1
423,6.3,12134,1
424,7.3,116990,1
425,5.9,9837,1
426,7.7,1848,0
427,6.7,980,0
428,0.0,0,0
429,5.7,401,0
430,6.5,127,0
431,0.0,0,0
432,7.5,617,1
433,5.6,17,0
434,7.5,680,1
435,0.0,0,0
436,7.4,54,0
437,7.5,65,0
438,0.0,0,0
439,7.5,161,0
440,7.5,364,1
441,6.9,13515,1
442,7.1,803,0
443,6.2,4565,1
444,6.4,2731,1
445,7.0,221,0
446,8.0,1429,1
447,4.9,1205,0
448,5.6,5221,1
449,4.8,727,1
450,7.9,17178,0
451,7.2,160264,1
452,6.7,7344,1
453,6.3,11210,1
454,6.6,16649,1
455,7.7,1838,0
456,6.7,362,0
457,8.7,63,0
458,0.0,0,0
459,6.4,56,0
460,7.9,5581,1
461,0.0,0,0
462,6.2,6337,0
463,0.0,0,0
464,6.7,686,0
465,7.3,818,0
466,0.0,0,0
467,0.0,0,0
468,6.5,15,0
469,5.4,20441,1
470,7.4,534,0
471,7.4,594,0
472,8.3,24829,1
473,6.8,2643,1
474,8.4,36206,0
475,5.0,85,0
476,4.6,242,0
477,4.0,306,0
478,4.9,255,0
479,0.0,0,0
480,5.5,61,0
481,5.1,854,0
482,7.6,936,0
483,0.0,0,0
484,7.3,540523,1
485,7.3,711205,1
486,8.4,694527,1
487,7.3,579293,1
488,7.8,628016,1
489,6.9,711603,1
490,7.7,706555,1
491,6.9,406778,1
492,7.5,562696,1
493,8.0,1007917,1
494,7.6,537920,1
495,7.9,910300,1
496,7.0,693517,1
497,7.2,730917,1
498,8.0,1225316,1
499,7.0,717145,1
500,7.9,542938,1
501,6.9,571192,1
502,6.1,63,1
503,7.1,9725,1
504,7.9,69458,1
505,6.7,246,0
506,7.0,6168,1
507,0.0,0,0
508,6.0,75,0
509,7.4,2520,1
510,0.0,0,0
511,6.2,97,0
512,5.0,20672,0
513,4.7,2012,0
